year,continent,country,total_estimated_economic_loss_usd_per_hectare,avg_yield_loss_percent,avg_food_security_impact_score
2032,North America,Canada,2451588.56,38.65101351351352,54.66844594594595
2032,North America,Mexico,2691855.67,43.627364864864866,62.24736486486487
2032,North America,USA,2716428.27,40.93628378378378,57.5854054054054
2032,Oceania,Australia,2679774.28,41.031891891891895,59.72391891891891
2032,Oceania,New Zealand,2696925.61,40.86324324324325,57.090202702702705
2032,Oceania,Papua New Guinea,2642417.67,42.78831081081081,58.726621621621625
2032,South America,Argentina,2790162.09,41.388581081081085,57.95202702702702
2032,South America,Brazil,2834911.07,43.33331081081081,60.38168918918919
2032,South America,Colombia,2779584.92,43.64074324324324,60.91486486486486
2035,Africa,Egypt,2768982.9,41.38108108108108,59.88905405405406
2035,Africa,Ethiopia,2515025.81,42.479662162162164,60.06148648648649
2035,Africa,Ghana,2515438.17,43.40141891891892,60.60635135135135
2035,Africa,Kenya,2681224.17,42.31709459459459,59.62155405405405
2035,Africa,Morocco,2524167.2600000002,40.58567567567568,58.79993243243243
2035,Africa,Nigeria,2676823.7,43.8279054054054,60.75351351351352
2035,Africa,South Africa,2603851.56,40.29283783783784,58.5997972972973
2035,Asia,Bangladesh,2742558.44,43.46067567567568,59.442364864864864
2035,Asia,China,2677055.91,40.07256756756757,56.60756756756757
2035,Asia,India,2925684.44,43.88567567567568,60.929256756756764
2035,Asia,Indonesia,2474529.68,44.04141891891892,59.90756756756757
2035,Asia,Iran,2556286.15,41.17297297297298,60.21263513513513
2035,Asia,Pakistan,2548333.57,40.81567567567568,59.342770270270265
2035,Asia,Thailand,2658874.85,43.87763513513514,61.14074324324324
2035,Asia,Turkey,2669409.88,40.42594594594595,56.71952702702703
2035,Asia,Vietnam,2823732.21,42.414054054054056,58.318851351351356
2035,Europe,France,2630752.88,41.80560810810811,58.33425675675675
2035,Europe,Germany,2583292.72,40.417162162162164,56.814324324324325
2035,Europe,Italy,2619804.97,41.111824324324324,57.43216216216216
2035,Europe,Spain,2653824.26,40.97743243243243,57.429121621621626
2035,Europe,Ukraine,2559679.16,39.899054054054055,56.09844594594595
2035,North America,Canada,2551049.41,39.1945945945946,54.79027027027027
2035,North America,Mexico,2699007.42,43.23628378378378,61.53337837837838
2035,North America,USA,2351689.12,40.23216216216216,56.7095945945946
2035,Oceania,Australia,2750824.69,41.387702702702704,60.087432432432436
2035,Oceania,New Zealand,2527038.23,40.82655405405406,57.120202702702706
2035,Oceania,Papua New Guinea,2634461.64,42.73547297297298,58.167094594594595
2035,South America,Argentina,2570499.22,40.1025,56.96060810810811
2035,South America,Brazil,2754255.78,43.998513513513515,61.21317567567567
2035,South America,Colombia,2828064.11,44.11060810810811,61.26668918918919
2038,Africa,Egypt,2823981.32,40.98027027027027,58.97452702702702
2038,Africa,Ethiopia,2785022.06,42.939054054054054,59.91547297297297
2038,Africa,Ghana,2769547.29,42.61074324324325,59.6795945945946
2038,Africa,Kenya,2772739.7,43.127364864864866,60.33506756756757
2038,Africa,Morocco,2703973.8,41.29716216216216,59.630608108108106
2038,Africa,Nigeria,2655135.95,42.30398648648649,59.50783783783784
2038,Africa,South Africa,2533269.62,41.84594594594594,60.56675675675675
2038,Asia,Bangladesh,2751930.08,43.17986486486486,58.53391891891892
2038,Asia,China,2441264.12,40.20918918918919,56.6795945945946
2038,Asia,India,2732411.74,44.51905405405405,61.86405405405405
2038,Asia,Indonesia,2772900.63,41.25,56.85256756756757
2038,Asia,Iran,2746489.0,41.388581081081085,59.61060810810811
2038,Asia,Pakistan,2753078.46,41.924932432432435,60.78189189189189
2038,Asia,Thailand,2712828.2,43.057229729729734,60.045540540540536
2038,Asia,Turkey,2577179.53,39.37689189189189,55.74972972972972
2038,Asia,Vietnam,2646115.49,42.67277027027027,58.73601351351351
2038,Europe,France,2591270.3,40.19148648648649,56.635
2038,Europe,Germany,2671034.01,39.66587837837838,55.895472972972975
2038,Europe,Italy,2670672.46,41.92527027027027,58.66925675675675
2038,Europe,Spain,2741813.86,41.976554054054056,58.074729729729725
2038,Europe,Ukraine,2732557.33,41.39824324324324,58.27087837837838
2038,North America,Canada,2511191.52,37.2577027027027,52.351283783783785
2038,North America,Mexico,2718760.22,43.53472972972973,62.05695945945946
2038,North America,USA,2599921.96,39.65391891891892,56.12635135135135
2038,Oceania,Australia,2732653.4,41.79297297297297,60.675
2038,Oceania,New Zealand,2572229.93,40.02912162162163,56.619256756756755
2038,Oceania,Papua New Guinea,2810605.99,42.512837837837836,58.16283783783784
2038,South America,Argentina,2747483.39,41.04114864864865,57.65371621621622
2038,South America,Brazil,2788988.31,44.65371621621622,61.29344594594595
2038,South America,Colombia,2949434.25,42.909662162162164,60.216351351351356
2041,Africa,Egypt,2556433.13,40.44405405405406,58.723040540540545
2041,Africa,Ethiopia,2725840.7199999997,43.72493243243243,61.16222972972973
2041,Africa,Ghana,2704734.79,42.611891891891894,59.96952702702703
2041,Africa,Kenya,2927920.1,43.68337837837838,60.76770270270271
2041,Africa,Morocco,2574943.19,41.292635135135136,59.43885135135135
2041,Africa,Nigeria,2790183.08,44.07777027027027,61.23939189189189
2041,Africa,South Africa,2500619.72,41.41189189189189,59.663783783783785
2041,Asia,Bangladesh,2684783.73,42.4127027027027,57.79331081081081
2041,Asia,China,2733811.63,40.22114864864865,56.57432432432432
2041,Asia,India,2708464.86,43.86736486486486,61.14385135135136
2041,Asia,Indonesia,2937857.53,43.160135135135135,59.197770270270276
2041,Asia,Iran,2575107.91,41.95574324324324,60.067297297297294
2041,Asia,Pakistan,2838465.3,41.57851351351351,60.35270270270271
2041,Asia,Thailand,2853226.62,44.28378378378378,61.508445945945944
2041,Asia,Turkey,2647058.4899999998,40.97939189189189,57.65013513513513
2041,Asia,Vietnam,2636405.7,41.903243243243246,57.630608108108106
2041,Europe,France,2530807.02,40.84182432432433,57.068378378378384
2041,Europe,Germany,2673220.75,39.62047297297297,56.12628378378379
2041,Europe,Italy,2575612.35,41.681216216216214,58.133243243243236
2041,Europe,Spain,2721245.29,40.79047297297297,57.332905405405405
2041,Europe,Ukraine,2553582.59,39.5822972972973,56.20222972972973
2041,North America,Canada,2469509.4699999997,38.475743243243244,54.46351351351352
2041,North America,Mexico,2832664.73,44.87425675675676,63.832027027027024
2041,North America,USA,2789774.42,40.741283783783786,57.2997972972973
2041,Oceania,Australia,2726606.78,40.964256756756754,59.67763513513513
2041,Oceania,New Zealand,2747269.61,40.83554054054054,57.31587837837838
2041,Oceania,Papua New Guinea,2577324.33,42.61358108108109,58.72398648648648
2041,South America,Argentina,2529911.79,39.7877027027027,56.439189189189186
2041,South America,Brazil,2735425.81,43.43108108108108,61.13675675675675
2041,South America,Colombia,2692587.74,44.01493243243243,61.14013513513513
2044,Africa,Egypt,2554239.79,40.52972972972973,58.79709459459459
2044,Africa,Ethiopia,2717575.29,43.64554054054054,61.03777027027027
2044,Africa,Ghana,2641737.57,43.16195945945946,59.95331081081081
2044,Africa,Kenya,2761867.65,43.71743243243243,60.741689189189195
2044,Africa,Morocco,2462009.11,40.35209459459459,59.155810810810806
2044,Africa,Nigeria,2838054.18,44.83581081081081,62.09094594594594
2044,Africa,South Africa,2603467.26,40.78263513513514,59.57628378378378
2044,Asia,Bangladesh,2542284.02,42.8204054054054,59.07831081081081
2044,Asia,China,2593936.52,40.692364864864864,57.578581081081076
2044,Asia,India,2772421.51,43.2747972972973,60.499121621621626
2044,Asia,Indonesia,2622411.35,42.98297297297297,58.4622972972973
2044,Asia,Iran,2758027.4,41.43763513513514,60.251621621621624
2044,Asia,Pakistan,2732961.45,41.51966216216216,60.08777027027027
2044,Asia,Thailand,2841516.29,44.11885135135135,61.295405405405404
2044,Asia,Turkey,2699162.57,39.89304054054054,56.35331081081082
2044,Asia,Vietnam,2577752.62,42.44527027027027,58.56527027027027
2044,Europe,France,2472795.38,41.04128378378378,57.8204054054054
2044,Europe,Germany,2678794.52,41.21804054054054,57.634662162162165
2044,Europe,Italy,2557185.23,40.68891891891892,56.950472972972975
2044,Europe,Spain,2792508.71,41.92108108108108,58.71878378378378
2044,Europe,Ukraine,2785358.34,40.01135135135135,56.435878378378376
2044,North America,Canada,2596887.38,38.33155405405405,53.88743243243243
2044,North America,Mexico,2902271.43,43.388243243243245,61.840135135135135
2044,North America,USA,2513495.64,40.43378378378378,56.872567567567565
2044,Oceania,Australia,2681765.03,41.79797297297298,59.980405405405406
2044,Oceania,New Zealand,2713811.77,39.51087837837838,56.08858108108109
2044,Oceania,Papua New Guinea,2620710.22,43.212094594594596,58.87641891891892
2044,South America,Argentina,2588843.79,40.93804054054054,57.78945945945946
2044,South America,Brazil,2546357.1,44.08216216216216,61.47283783783784
2044,South America,Colombia,2627820.81,43.63898648648649,60.68310810810811
2047,Africa,Egypt,2777536.06,41.97878378378378,60.57006756756757
2047,Africa,Ethiopia,2756990.43,43.62114864864865,60.296216216216216
2047,Africa,Ghana,2738386.63,43.96060810810811,61.26932432432433
2047,Africa,Kenya,2563945.91,43.44898648648648,60.806824324324324
2047,Africa,Morocco,2378521.8,40.81054054054054,59.530202702702695
2047,Africa,Nigeria,2625418.56,42.576283783783786,59.89310810810811
2047,Africa,South Africa,2817987.27,41.16851351351351,59.8193918918919
2047,Asia,Bangladesh,2839954.33,44.51885135135135,60.4043918918919
2047,Asia,China,2617772.8,40.73222972972973,57.12445945945946
2047,Asia,India,2737181.62,43.68689189189189,60.84540540540541
2047,Asia,Indonesia,2787971.15,41.84898648648648,57.15952702702703
2047,Asia,Iran,2733522.06,41.39722972972973,59.73810810810811
2047,Asia,Pakistan,2678894.08,40.91256756756757,59.5054054054054
2047,Asia,Thailand,2806862.38,43.861486486486484,61.10047297297298
2047,Asia,Turkey,2687624.18,39.545540540540536,55.884797297297304
2047,Asia,Vietnam,2557851.94,42.042297297297296,57.65689189189189
2047,Europe,France,2778577.26,41.32743243243243,58.177702702702696
2047,Europe,Germany,2703262.74,41.130067567567565,57.64141891891892
2047,Europe,Italy,2612169.37,40.06493243243243,56.38925675675676
2047,Europe,Spain,2664162.96,40.303445945945946,56.5904054054054
2047,Europe,Ukraine,2391251.01,39.42324324324325,55.39006756756756
2047,North America,Canada,2223297.87,37.95648648648649,53.30777027027027
2047,North America,Mexico,2858750.71,44.29763513513514,62.986554054054054
2047,North America,USA,2640172.75,40.159256756756754,56.52635135135135
2047,Oceania,Australia,2736462.22,41.52243243243243,59.4527027027027
2047,Oceania,New Zealand,2685895.63,40.9779054054054,57.47547297297298
2047,Oceania,Papua New Guinea,2862781.02,42.751689189189186,58.227162162162166
2047,South America,Argentina,2619157.05,41.03567567567568,58.30067567567568
2047,South America,Brazil,2630895.66,44.47689189189189,61.476283783783785
2047,South America,Colombia,2744793.03,43.560878378378376,60.413851351351354
2050,Africa,Egypt,2550585.46,42.15013513513514,60.63702702702703
2050,Africa,Ethiopia,2699481.82,42.76472972972973,59.98141891891892
2050,Africa,Ghana,2603397.8,43.851216216216216,61.410608108108114
2050,Africa,Kenya,3012658.43,44.248378378378376,61.57304054054054
2050,Africa,Morocco,2741589.4,41.24141891891892,59.37472972972974
2050,Africa,Nigeria,2953171.8,43.93364864864865,61.405743243243236
2050,Africa,South Africa,2784324.85,41.30824324324324,59.8277027027027
2050,Asia,Bangladesh,2548329.73,42.56689189189189,58.574662162162156
2050,Asia,China,2651019.67,40.83202702702703,57.520135135135135
2050,Asia,India,2579817.66,43.78405405405405,61.056216216216214
2050,Asia,Indonesia,2860380.34,43.29513513513514,59.168581081081086
2050,Asia,Iran,2693324.41,40.70304054054054,59.23412162162162
2050,Asia,Pakistan,2987746.81,41.74324324324324,60.328648648648645
2050,Asia,Thailand,2726285.52,44.013040540540544,61.27081081081081
2050,Asia,Turkey,2734040.08,39.13891891891892,56.01128378378378
2050,Asia,Vietnam,2679572.64,42.740878378378376,58.50364864864864
2050,Europe,France,2574567.18,40.133108108108104,56.70222972972973
2050,Europe,Germany,2509834.2,40.5227027027027,56.96047297297297
2050,Europe,Italy,2547851.65,40.65331081081081,57.03047297297297
2050,Europe,Spain,2663773.86,40.097297297297295,56.752432432432435
2050,Europe,Ukraine,2646586.11,41.39439189189189,58.229797297297296
2050,North America,Canada,2718465.98,37.883716216216214,53.35297297297297
2050,North America,Mexico,2889556.79,45.50885135135135,64.00479729729729
2050,North America,USA,2549200.12,41.431891891891894,57.98229729729729
2050,Oceania,Australia,2628208.15,40.50675675675676,59.255810810810814
2050,Oceania,New Zealand,2709884.82,40.66554054054054,57.23216216216217
2050,Oceania,Papua New Guinea,2672407.11,42.700608108108106,58.74743243243244
2050,South America,Argentina,2585705.11,40.10027027027027,56.24202702702703
2050,South America,Brazil,2734493.88,43.72824324324324,60.75945945945946
2050,South America,Colombia,2743313.96,44.026756756756754,61.307567567567574
2053,Africa,Egypt,2451867.85,41.148581081081076,59.805472972972964
2053,Africa,Ethiopia,2685434.57,44.51081081081081,61.6208108108108
2053,Africa,Ghana,2802193.17,44.91804054054054,62.278378378378385
2053,Africa,Kenya,2876800.56,43.817364864864864,61.384594594594596
2053,Africa,Morocco,2622274.14,41.5527027027027,60.663986486486486
2053,Africa,Nigeria,2943003.12,42.97094594594594,59.798986486486484
2053,Africa,South Africa,2706523.48,41.22527027027027,59.445878378378374
2053,Asia,Bangladesh,2588042.69,42.3772972972973,58.11168918918919
2053,Asia,China,2621757.92,40.905337837837834,57.22101351351352
2053,Asia,India,3010681.33,43.29635135135135,60.616621621621626
2053,Asia,Indonesia,2544680.7,43.854594594594595,59.89398648648648
2053,Asia,Iran,2683983.9,41.09128378378379,59.684391891891885
2053,Asia,Pakistan,2686476.48,42.34932432432432,61.45155405405406
2053,Asia,Thailand,2924776.69,43.85060810810811,60.65790540540541
2053,Asia,Turkey,2545977.1,40.5622972972973,56.97844594594594
2053,Asia,Vietnam,2980451.37,43.85054054054054,59.77641891891892
2053,Europe,France,2421273.98,40.92668918918919,57.792229729729726
2053,Europe,Germany,2862044.35,40.86554054054054,57.37398648648649
2053,Europe,Italy,2743857.52,40.39797297297297,56.491621621621626
2053,Europe,Spain,2791859.36,41.387567567567565,57.9075
2053,Europe,Ukraine,2745970.65,40.53743243243243,56.952432432432424
2053,North America,Canada,2660077.29,38.19405405405406,53.704054054054055
2053,North America,Mexico,2742723.86,45.09486486486487,63.473108108108114
2053,North America,USA,2443720.83,40.62567567567568,57.559999999999995
2053,Oceania,Australia,2621380.61,41.410000000000004,59.762364864864864
2053,Oceania,New Zealand,2563786.26,39.818445945945946,55.96398648648649
2053,Oceania,Papua New Guinea,2805988.69,43.737635135135136,59.58932432432432
2053,South America,Argentina,2506479.95,39.98506756756757,56.53067567567568
2053,South America,Brazil,2894859.83,42.2179054054054,59.24060810810811
2053,South America,Colombia,2603780.84,44.421283783783785,61.405
2056,Africa,Egypt,2723654.14,40.70668918918919,59.08864864864866
2056,Africa,Ethiopia,2872849.17,44.185472972972974,61.58662162162162
2056,Africa,Ghana,2598426.78,43.3670945945946,60.83013513513514
2056,Africa,Kenya,2625755.33,42.30527027027027,59.61243243243243
2056,Africa,Morocco,2712847.21,40.924054054054054,59.45831081081081
2056,Africa,Nigeria,2738313.14,43.6581081081081,61.26668918918919
2056,Africa,South Africa,2688933.09,41.12317567567568,59.38898648648649
2056,Asia,Bangladesh,2692810.12,43.59513513513514,59.450540540540544
2056,Asia,China,2646398.72,41.560135135135134,58.12243243243244
2056,Asia,India,2828584.77,44.71797297297297,61.7195945945946
2056,Asia,Indonesia,2611724.45,41.792229729729726,57.693918918918925
2056,Asia,Iran,2541674.81,41.927229729729724,60.160472972972975
2056,Asia,Pakistan,2572214.37,40.93405405405405,59.74668918918919
2056,Asia,Thailand,2765296.54,43.284256756756754,60.432635135135136
2056,Asia,Turkey,2739178.36,40.2497972972973,56.60189189189189
2056,Asia,Vietnam,2886248.32,43.108108108108105,58.638648648648655
2056,Europe,France,2492477.0,40.43837837837838,57.09540540540541
2056,Europe,Germany,2498897.02,40.06709459459459,56.602162162162166
2056,Europe,Italy,2803258.49,40.35,56.65621621621622
2056,Europe,Spain,2548192.0300000003,40.63081081081081,56.925202702702705
2056,Europe,Ukraine,2528671.06,42.28628378378378,58.92
2056,North America,Canada,2497893.55,37.49304054054054,53.14641891891892
2056,North America,Mexico,2781429.85,43.424324324324324,61.410405405405406
2056,North America,USA,2473733.88,39.785540540540545,55.73222972972974
2056,Oceania,Australia,2572816.05,40.699797297297295,59.376418918918915
2056,Oceania,New Zealand,2759635.81,41.887297297297295,58.41932432432432
2056,Oceania,Papua New Guinea,2689425.26,42.81945945945946,58.83060810810811
2056,South America,Argentina,2847042.04,40.48783783783784,57.39270270270271
2056,South America,Brazil,2692289.73,43.34445945945946,60.27858108108108
2056,South America,Colombia,2809866.54,43.671013513513515,61.26864864864865
2059,Africa,Egypt,2712895.43,42.19135135135135,60.70398648648649
2059,Africa,Ethiopia,2814861.19,43.09986486486486,60.278175675675676
2059,Africa,Ghana,2762277.24,44.35675675675676,61.44560810810811
2059,Africa,Kenya,2660332.96,43.01108108108108,60.100608108108105
2059,Africa,Morocco,2763120.37,41.93114864864865,60.33108108108108
2059,Africa,Nigeria,2723804.38,43.32074324324324,60.35898648648648
2059,Africa,South Africa,2471718.53,40.97445945945946,59.60033783783784
2059,Asia,Bangladesh,2791329.28,43.81,59.761621621621615
2059,Asia,China,2527752.36,40.50081081081081,57.38554054054054
2059,Asia,India,2617767.68,45.01932432432432,62.703581081081076
2059,Asia,Indonesia,2814613.84,43.08891891891892,59.19189189189189
2059,Asia,Iran,2735011.07,42.06804054054054,60.880202702702704
2059,Asia,Pakistan,2626045.78,41.37858108108108,60.19743243243243
2059,Asia,Thailand,2772014.16,44.85364864864865,61.780202702702695
2059,Asia,Turkey,2765576.79,41.58716216216216,58.248175675675675
2059,Asia,Vietnam,2986769.48,43.637027027027024,59.51013513513514
2059,Europe,France,2725286.58,40.92358108108108,57.82445945945946
2059,Europe,Germany,2595229.93,40.535067567567566,57.390540540540535
2059,Europe,Italy,2661371.61,39.7570945945946,56.358108108108105
2059,Europe,Spain,2487703.5,40.307297297297296,56.67817567567568
2059,Europe,Ukraine,2651089.2,40.77256756756757,57.32716216216216
2059,North America,Canada,2636361.85,38.95851351351351,54.733445945945945
2059,North America,Mexico,2811543.73,44.116689189189195,62.760337837837845
2059,North America,USA,2820053.19,41.001283783783784,58.21378378378378
2059,Oceania,Australia,2684018.26,42.20243243243243,60.373378378378376
2059,Oceania,New Zealand,2667440.46,41.377027027027026,57.7725
2059,Oceania,Papua New Guinea,2746504.37,41.98047297297297,58.004999999999995
2059,South America,Argentina,2717376.43,40.875,57.36736486486487
2059,South America,Brazil,2845040.49,43.70614864864865,60.40635135135135
2059,South America,Colombia,2874987.68,44.04432432432433,61.12966216216216
2062,Africa,Egypt,2562660.59,42.016554054054055,60.62168918918919
2062,Africa,Ethiopia,2654451.53,43.49885135135135,60.851486486486486
2062,Africa,Ghana,2534065.22,44.75101351351351,62.54837837837838
2062,Africa,Kenya,2917775.81,43.446418918918916,60.61554054054054
2062,Africa,Morocco,2822789.12,41.391621621621624,59.67358108108108
2062,Africa,Nigeria,2695838.96,43.82222972972973,60.692297297297294
2062,Africa,South Africa,2564313.11,43.111554054054054,61.72864864864865
2062,Asia,Bangladesh,2980907.64,43.189864864864866,58.69500000000001
2062,Asia,China,2736219.17,40.14364864864865,57.19195945945946
2062,Asia,India,2756894.44,43.33797297297298,60.622567567567565
2062,Asia,Indonesia,2825718.69,44.34581081081081,60.246959459459454
2062,Asia,Iran,2832280.97,40.652499999999996,58.74709459459459
2062,Asia,Pakistan,2741876.59,41.560743243243245,60.005135135135134
2062,Asia,Thailand,2665270.55,44.64587837837838,61.87027027027027
2062,Asia,Turkey,2613161.16,40.37141891891892,56.903378378378385
2062,Asia,Vietnam,2716705.87,43.46736486486486,59.54750000000001
2062,Europe,France,2532155.78,41.11006756756757,57.62479729729729
2062,Europe,Germany,2587952.61,40.97067567567567,57.3681081081081
2062,Europe,Italy,2634751.65,41.508918918918916,58.513513513513516
2062,Europe,Spain,2577498.7,43.218716216216215,60.056756756756755
2062,Europe,Ukraine,2924959.71,40.799864864864865,57.28047297297297
2062,North America,Canada,2568971.1,39.692905405405405,55.008648648648645
